"COMID","drywet_mean","drywet_stdev","FAXVIR_mean","FAXVIR_stdev"
15901775,0.56547619047619,0.496433620668385,0.1,0.300518582928113
15901777,0.178571428571429,0.383564251698769,0.0724137931034483,0.259619833488468
15901779,0.166666666666667,0.37323381758231,0.0689655172413793,0.253833512551086
15901785,0.476190476190476,0.500177651453465,0.0724137931034483,0.259619833488468
15901787,0.0535714285714286,0.225505828006326,0.0724137931034483,0.259619833488468
15901789,0.0267857142857143,0.161697419389118,0.117241379310345,0.322263797804304
15901791,0.0476190476190476,0.213276467189891,0.0344827586206897,0.18278101948996
15901793,0.0416666666666667,0.2001243394587,0.0344827586206897,0.18278101948996
15901795,0.12202380952381,0.327801467990137,0.0551724137931034,0.228711157795233
15902351,0.0208333333333333,0.143039152000336,0.0310344827586207,0.173710669593725
15902353,0.699404761904762,0.459200736362393,0.0413793103448276,0.199510198470255
15902355,0.00892857142857143,0.0942086329617422,0.0448275862068966,0.207282978429013
15902357,0.696428571428571,0.460485513686983,0.0275862068965517,0.164067147457484
15902359,0.0148809523809524,0.121257038424367,0.0379310344827586,0.191359718697804
15902361,0.0148809523809524,0.121257038424367,0.0827586206896552,0.275993287011839
15902363,0.848214285714286,0.359348201698528,0.0172413793103448,0.130394571599393
15902375,0.0178571428571429,0.132629628427765,0.0689655172413793,0.253833512551086
15902387,0.580357142857143,0.494236504939183,0.0379310344827586,0.191359718697804
15902389,0.00892857142857143,0.0942086329617422,0.0896551724137931,0.286180947412183
15902409,0.803571428571429,0.397888885283295,0.0310344827586207,0.173710669593725
15902411,0.0119047619047619,0.108619298914417,0.0310344827586207,0.173710669593725
15902413,0.833333333333333,0.37323381758231,0.0206896551724138,0.142589279613793
15902419,0.842261904761905,0.365038869132119,0.0379310344827586,0.191359718697804
15902421,0.0208333333333333,0.143039152000336,0.0896551724137931,0.286180947412183
15902423,0.836309523809524,0.370546284133502,0.0241379310344828,0.153742634029068
15902425,0.0208333333333333,0.143039152000336,0.0620689655172414,0.241697848353228
15902427,0.836309523809524,0.370546284133502,0.0275862068965517,0.164067147457484
15902429,0.0208333333333333,0.143039152000336,0.0172413793103448,0.130394571599393
15902431,0.0148809523809524,0.121257038424367,0.0827586206896552,0.275993287011839
15902435,0.821428571428571,0.383564251698769,0.103448275862069,0.305069914978024
15902437,0.0148809523809524,0.121257038424367,0.0689655172413793,0.253833512551086
15902439,0.0148809523809524,0.121257038424367,0.103448275862069,0.305069914978024
15902441,0.0982142857142857,0.298048020629695,0.0448275862068966,0.207282978429013
15902443,0.8125,0.390894496587873,0.0310344827586207,0.173710669593725
15902447,0.0178571428571429,0.132629628427765,0.0586206896551724,0.235319471250672
15902449,0.75297619047619,0.431923928520323,0.0344827586206897,0.18278101948996
15902451,0.107142857142857,0.30975607708665,0.210344827586207,0.40825803258102
15902453,0.00595238095238095,0.0770364371646986,0.0931034482758621,0.291079644605457
15902455,0.81547619047619,0.388489319892092,0.0310344827586207,0.173710669593725
15902459,0.821428571428571,0.383564251698769,0.0448275862068966,0.207282978429013
15902461,0.00892857142857143,0.0942086329617422,0.120689655172414,0.326329392195912
15902463,0.821428571428571,0.383564251698769,0.0448275862068966,0.207282978429013
15902465,0.00892857142857143,0.0942086329617422,0.120689655172414,0.326329392195912
15902467,0.0119047619047619,0.108619298914417,0.0275862068965517,0.164067147457484
15902469,0.0208333333333333,0.143039152000336,0.0275862068965517,0.164067147457484
15902471,0.00892857142857143,0.0942086329617422,0.103448275862069,0.305069914978024
15902473,0.75,0.43365850792131,0.0379310344827586,0.191359718697804
15902475,0.0952380952380952,0.293981322141903,0.0448275862068966,0.207282978429013
15902477,0.0119047619047619,0.108619298914417,0.0379310344827586,0.191359718697804
15902479,0.0148809523809524,0.121257038424367,0.0517241379310345,0.22185236160474
15902483,0.0148809523809524,0.121257038424367,0.0413793103448276,0.199510198470255
15902485,0.0863095238095238,0.281239388175385,0.0379310344827586,0.191359718697804
15902487,0.0178571428571429,0.132629628427765,0.0275862068965517,0.164067147457484
15902489,0.669642857142857,0.471043164808711,0.0517241379310345,0.22185236160474
15902491,0.0476190476190476,0.213276467189891,0.096551724137931,0.295856926308593
15902493,0.0238095238095238,0.15268271471163,0.106896551724138,0.309515789360576
15902495,0.0267857142857143,0.161697419389118,0.0344827586206897,0.18278101948996
15902497,0.0267857142857143,0.161697419389118,0.141379310344828,0.349014669761695
15902499,0.738095238095238,0.440326815371794,0.189655172413793,0.39270583617013
15902501,0.0327380952380952,0.178215708240951,0.0344827586206897,0.18278101948996
15902503,0.0208333333333333,0.143039152000336,0.0413793103448276,0.199510198470255
15902505,0.0238095238095238,0.15268271471163,0.0413793103448276,0.199510198470255
15902507,0.0892857142857143,0.285580992361702,0.0310344827586207,0.173710669593725
15902513,0.00892857142857143,0.0942086329617422,0.103448275862069,0.305069914978024
15902515,0.00892857142857143,0.0942086329617422,0.110344827586207,0.313860687569385
15902517,0.0119047619047619,0.108619298914417,0.0517241379310345,0.22185236160474
15902519,0.104166666666667,0.305932226748318,0.0896551724137931,0.286180947412183
15902521,0.0119047619047619,0.108619298914417,0.0517241379310345,0.22185236160474
15902523,0.12797619047619,0.334561525517785,0.113793103448276,0.318108747189979
15902525,0.0119047619047619,0.108619298914417,0.113793103448276,0.318108747189979
